0:0:0	Xerox Corporation
0:0:1	Xerox Corporation [Super LAN-2U]
0:0:10	Sytek Inc. [Hughes LAN Systems (formerly Sytek)]
0:0:11	Normerel Systemes [Tektronix]
0:0:12	Information Technology Limited
0:0:13	Camex
0:0:14	Netronix
0:0:15	Datapoint Corporation
0:0:16	du Pont Pixel Systems
0:0:17	Tekelec
0:0:18	Webster Computer Corporation [Webster Computer Corporation; Appletalk/Ethernet Gateway]
0:0:19	Applied Dynamics International
0:0:1a	Advanced Micro Devices [AMD (?)]
0:0:1b	Novell Inc. [Novell (now Eagle Technology)]
0:0:1c	Bell Technologies [JDR Microdevices generic, NE2000 drivers]
0:0:1d	Cabletron Systems, Inc. [Cabletron]
0:0:1e	Telsist Industria Electronica
0:0:1f	Telco Systems, Inc. [Cryptall Communications Corp.]
0:0:2	Xerox Corporation [BBN (was internal usage only, no longer used)]
0:0:20	Dataindustrier Diab AB [DIAB (Data Intdustrier AB)]
0:0:21	Sureman Comp. & Commun. Corp. [SC&C (PAM Soft&Hardware also reported)]
0:0:22	Visual Technology Inc. [Visual Technology]
0:0:23	ABB Industrial Systems AB [ABB Automation AB, Dept. Q]
0:0:24	Connect AS [Olicom]
0:0:25	Ramtek Corp.
0:0:26	SHA-KEN Co., Ltd.
0:0:27	Japan Radio Company
0:0:28	Prodigy Systems Corporation
0:0:29	IMC Networks Corp. [IMC]
0:0:2a	TRW - Sedd/INP [TRW]
0:0:2b	Crisp Automation, Inc
0:0:2c	Autotote Limited [NRC - Network Resources Corporation - Multi Gate Hub1+, Hub2, etc]
0:0:2d	Chromatics Inc
0:0:2e	Societe Evira
0:0:2f	Timeplex Inc.
0:0:3	Xerox Corporation
0:0:30	VG Laboratory Systems Ltd
0:0:31	Qpsx Communications Pty Ltd
0:0:32	Marconi plc [GPT Limited (reassigned from GEC Computers Ltd)]
0:0:33	Egan Machinery Company
0:0:34	Network Resources Corporation
0:0:35	Spectragraphics Corporation
0:0:36	Atari Corporation
0:0:37	Oxford Metrics Limited [Oxford Metrics Ltd]
0:0:38	CSS Labs
0:0:39	Toshiba Corporation
0:0:3a	Chyron Corporation
0:0:3b	i Controls, Inc. [Hyundai/Axil Sun clones]
0:0:3c	Auspex Systems Inc. [Auspex]
0:0:3d	Unisys [AT&T]
0:0:3e	Simpact
0:0:3f	Syntrex, Inc.
0:0:4	Xerox Corporation
0:0:40	Applicon, Inc.
0:0:41	ICE Corporation
0:0:42	Metier Management Systems Ltd.
0:0:43	Micro Technology
0:0:44	Castelle Corporation [Castelle]
0:0:45	Ford Aerospace & Comm. Corp.
0:0:46	Olivetti North America [ISC-Bunker Ramo, An Olivetti Company]
0:0:47	Nicolet Instruments Corp.
0:0:48	Seiko Epson Corporation [Epson]
0:0:49	Apricot Computers, Ltd [Apricot Ltd.]
0:0:4a	ADC Codenoll Technology Corp.
0:0:4b	ICL Data OY [APT; -ICL also reported]
0:0:4c	NEC Corporation
0:0:4d	DCI Corporation
0:0:4e	Ampex Corporation
0:0:4f	Logicraft, Inc. [Logicraft 386-Ware P.C. Emulator]
0:0:5	Xerox Corporation
0:0:50	Radisys Corporation
0:0:51	HOB Electronic GmbH & Co. KG
0:0:52	Intrusion.com, Inc. [Optical Data Systems]
0:0:53	Compucorp
0:0:54	Modicon, Inc.
0:0:55	Commissariat A L`Energie Atom. [AT&T]
0:0:56	DR. B. Struck
0:0:57	Scitex Corporation Ltd.
0:0:58	Racore Computer Products Inc.
0:0:59	Hellige GmbH
0:0:5a	Syskonnect GmbH [Xerox 806 (unregistered)]
0:0:5b	Eltec Elektronik AG [Eltec]
0:0:5c	Telematics International Inc.
0:0:5d	CS Telecom [RCE]
0:0:5e	USC Information Sciences Inst [U.S. Department of Defense (IANA)]
0:0:5f	Sumitomo Electric Ind., Ltd. [Sumitomo]
0:0:6	Xerox Corporation
0:0:60	Kontron Elektronik GmbH
0:0:61	Gateway Communications
0:0:62	Bull HN Information Systems [Honeywell]
0:0:63	DR.ING.Seufert GmbH [Hewlett-Packard Lan Probe]
0:0:64	Yokogawa Digital Computer Corp
0:0:65	Network Associates, Inc. [Network General]
0:0:66	Talaris Systems, Inc. [Talaris]
0:0:67	Soft * Rite, Inc.
0:0:68	Rosemount Controls
0:0:69	Concord Communications Inc [Concord Communications, Inc (although someone said Silicon Graphics)]
0:0:6a	Computer Consoles Inc.
0:0:6b	Silicon Graphics Inc./Mips [MIPS]
0:0:6c	Private
0:0:6d	Cray Communications, Ltd. [Case]
0:0:6e	Artisoft, Inc.
0:0:6f	Madge Networks Ltd. [Madge Networks Ltd. Token-ring adapters]
0:0:7	Xerox Corporation
0:0:70	HCL Limited
0:0:71	Adra Systems Inc.
0:0:72	Miniware Technology
0:0:73	Siecor Corporation [Du Pont]
0:0:74	Ricoh Company Ltd.
0:0:75	Nortel Networks [Bell Northern Research (BNR)]
0:0:76	Abekas Video System
0:0:77	Interphase Corporation [Interphase [Used in other systems, e.g. MIPS, Motorola]]
0:0:78	Labtam Limited [Labtam Australia]
0:0:79	Networth Incorporated [Networth Incorporated; [bought by Compaq, used in Netelligent series]]
0:0:7a	Dana Computer Inc. [Ardent]
0:0:7b	Research Machines
0:0:7c	Ampere Incorporated
0:0:7d	Sun Microsystems, Inc. [Cray Research Superservers,Inc [Also Harris (3M) (old)]]
0:0:7e	Clustrix Corporation [Net FRAME multiprocessor network servers]
0:0:7f	Linotype-Hell AG [Linotype-Hell AG Linotronic typesetters]
0:0:8	Xerox Corporation
0:0:80	Cray Communications A/S [Cray Communications (formerly Dowty Network Services); [Also shows as "Harris (3M) (new)" and/or "Imagen(?)" elsewhere]]
0:0:81	Bay Networks [Synoptics]
0:0:82	Lectra Systemes SA
0:0:83	Tadpole Technology PLC [Tadpole Technology [had Optical Data Systems which is wrong according to both]]
0:0:84	Supernet [Aquila (?), ADI Systems Inc.(?)]
0:0:85	Canon Inc.
0:0:86	Megahertz Corporation [Gateway Communications Inc. (then Megahertz & now 3com)]
0:0:87	Hitachi, Ltd. [Hitachi]
0:0:88	Computer Network Tech. Corp.
0:0:89	Cayman Systems Inc. [Cayman Systems Gatorbox]
0:0:8a	Datahouse Information Systems
0:0:8b	Infotron
0:0:8c	Alloy Computer Products, Inc.
0:0:8d	Verdix Corporation
0:0:8e	Solbourne Computer, Inc. [Solbourne(?), Jupiter(?) (I've had confirming mail on Solbourne)]
0:0:8f	Raytheon Company
0:0:9	Xerox Corporation [powerpipes?]
0:0:90	Microcom
0:0:91	Anritsu Corporation
0:0:92	Cogent Data Technologies [Unisys, Cogent (both reported)]
0:0:93	Proteon Inc. [Proteon]
0:0:94	Asante Technologies [Asante MAC]
0:0:95	Sony Tektronix Corp. [Sony/Tektronix]
0:0:96	Marconi Electronics Ltd.
0:0:97	Epoch Systems [Epoch]
0:0:98	Crosscomm Corporation [Cross Com]
0:0:99	MTX, Inc. [Memorex Telex Corporations]
0:0:9a	RC Computer A/S
0:0:9b	Information International, Inc
0:0:9c	Rolm MIL-Spec Computers
0:0:9d	Locus Computing Corporation
0:0:9e	Marli S.A.
0:0:9f	Ameristar Technologies Inc. [Ameristar Technology]
0:0:a	Omron Tateisi Electronics Co.
0:0:a0	Tokyo Sanyo Electric Co. Ltd. [Sanyo Electronics]
0:0:a1	Marquette Electric Co.
0:0:a2	Bay Networks [Wellfleet]
0:0:a3	Network Application Technology [Network Application Technology (NAT)]
0:0:a4	Acorn Computers Limited [Acorn]
0:0:a5	Compatible Systems Corp. [Compatible Systems Corporation]
0:0:a6	Network General Corporation [Network General (internal assignment, not for products)]
0:0:a7	Network Computing Devices Inc. [Network Computing Devices (NCD); X-terminals]
0:0:a8	Stratus Computer Inc.
0:0:a9	Network Systems Corp. [Network Systems]
0:0:aa	Xerox Corporation [Xerox Xerox machines]
0:0:ab	Logic Modeling Corporation
0:0:ac	Conware Computer Consulting [Conware Netzpartner [had Apollo, claimed incorrect]]
0:0:ad	Bruker Instruments Inc.
0:0:ae	Dassault Electronique [Dassault Automatismes et Telecommunications]
0:0:af	Nuclear Data Instrumentation [Nuclear Data Acquisition Interface Modules (AIM)]
0:0:b	Matrix Corporation
0:0:b0	RND-RAD Network Devices
0:0:b1	Alpha Microsystems Inc.
0:0:b2	Televideo Systems, Inc.
0:0:b3	Cimlinc Incorporated [CIMLinc]
0:0:b4	Edimax Computer Company [Edimax]
0:0:b5	Datability Software Sys. Inc. [Datability Terminal Servers]
0:0:b6	Micro-Matic Research
0:0:b7	Dove Computer Corporation [Dove Fastnet]
0:0:b8	Seikosha Co., Ltd.
0:0:b9	Mcdonnell Douglas Computer Sys
0:0:ba	Siig, Inc.
0:0:bb	TRI-Data [TRI-DATA Systems Inc. Netway products, 3274 emulators]
0:0:bc	Allen-Bradley Co. Inc. [Allen-Bradley]
0:0:bd	Mitsubishi Cable Company
0:0:be	The NTI Group
0:0:bf	Symmetric Computer Systems
0:0:c	Cisco Systems, Inc. [Cisco]
0:0:c0	Western Digital Corporation [Western Digital now SMC (Std. Microsystems Corp.)]
0:0:c1	Madge Networks Ltd. [Olicom A/S]
0:0:c2	Information Presentation Tech.
0:0:c3	Harris Corp Computer Sys Div
0:0:c4	Waters Div. of Millipore
0:0:c5	Farallon Computing/Netopia [Farallon Computing Inc]
0:0:c6	Eon Systems [HP Intelligent Networks Operation (formerly Eon Systems)]
0:0:c7	Arix Corporation
0:0:c8	Altos Computer Systems [Altos]
0:0:c9	Emulex Corporation [Emulex Terminal Servers, Print Servers]
0:0:ca	Applitek [LANcity Cable Modems (now owned by Bay Networks)]
0:0:cb	Compu-Shack Electronic GmbH
0:0:cc	Densan Co., Ltd.
0:0:cd	Centrecom Systems, Ltd. [Industrial Research Limited]
0:0:ce	Megadata Corp.
0:0:cf	Hayes Microcomputer Products
0:0:d	Fibronics Ltd.
0:0:d0	Develcon Electronics Ltd.
0:0:d1	Adaptec Incorporated [Adaptec, Inc. "Nodem" product]
0:0:d2	SBE, Inc.
0:0:d3	Wang Laboratories Inc. [Wang Labs]
0:0:d4	Pure Data Ltd. [Pure Data]
0:0:d5	Micrognosis International
0:0:d6	Punch Line Holding
0:0:d7	Dartmouth College [Dartmouth College (NED Router)]
0:0:d8	Novell, Inc. [old Novell NE1000's (before about 1987?) (also 3Com)]
0:0:d9	Nippon Telegraph & Telephone
0:0:da	Atex
0:0:db	British Telecommunications PLC
0:0:dc	Hayes Microcomputer Products
0:0:dd	TCL Incorporated [Gould]
0:0:de	Cetia [Unigraph]
0:0:df	Bell & Howell Pub Sys Div
0:0:e	Fujitsu Limited [Fujitsu]
0:0:e0	Quadram Corp.
0:0:e1	Grid Systems [Hitachi (laptop built-in)]
0:0:e2	Acer Technologies Corp. [Acer Counterpoint]
0:0:e3	Integrated Micro Products Ltd
0:0:e4	IN2 Groupe Intertechnique [mips?]
0:0:e5	Sigmex Ltd.
0:0:e6	Aptor Produits de Comm Indust
0:0:e7	Star Gate Technologies
0:0:e8	Accton Technology Corp. [Accton Technology Corporation]
0:0:e9	Isicad, Inc.
0:0:ea	Upnod AB
0:0:eb	Matsushita Comm. Ind. Co. Ltd.
0:0:ec	Microprocess
0:0:ed	April
0:0:ee	Network Designers, Ltd. [Network Designers Limited [also KNX Ltd, a former division]]
0:0:ef	KTI [Alantec (now owned by Fore Systems)]
0:0:f	Next, Inc. [Ne XT]
0:0:f0	Samsung Electronics Co., Ltd. [Samsung]
0:0:f1	Magna Computer Corporation
0:0:f2	Spider Communications [Spider Communications (Montreal, not Spider Systems)]
0:0:f3	Gandalf Data Limited [Gandalf Data Ltd. - Canada]
0:0:f4	Allied Telesyn International [Allied Telesis, Inc.]
0:0:f5	Diamond Sales Limited
0:0:f6	Applied Microsystems Corp. [A.M.C. (Applied Microsystems Corp.)]
0:0:f7	Youth Keep Enterprise Co Ltd
0:0:f8	Digital Equipment Corporation [DEC]
0:0:f9	Quotron Systems Inc.
0:0:fa	Microsage Computer Systems Inc
0:0:fb	Rechner Zur Kommunikation
0:0:fc	Meiko
0:0:fd	High Level Hardware [High Level Hardware (Orion, UK)]
0:0:fe	Annapolis Micro Systems
0:0:ff	Camtec Electronics Ltd. [Camtec Electronics (UK) Ltd.]
0:10:0	Cable Television Laboraties, Inc.
0:10:1	MCK Communications
