0:0:0	XEROX CORPORATION
0:0:1	XEROX CORPORATION
0:0:10	SYTEK INC.
0:0:11	NORMEREL SYSTEMES
0:0:12	INFORMATION TECHNOLOGY LIMITED
0:0:13	CAMEX
0:0:14	NETRONIX
0:0:15	DATAPOINT CORPORATION
0:0:16	DU PONT PIXEL SYSTEMS     .
0:0:17	TEKELEC
0:0:18	WEBSTER COMPUTER CORPORATION
0:0:19	APPLIED DYNAMICS INTERNATIONAL
0:0:1a	ADVANCED MICRO DEVICES
0:0:1b	NOVELL INC.
0:0:1c	BELL TECHNOLOGIES
0:0:1d	CABLETRON SYSTEMS, INC.
0:0:1e	TELSIST INDUSTRIA ELECTRONICA
0:0:1f	Telco Systems, Inc.
0:0:2	XEROX CORPORATION
0:0:20	DATAINDUSTRIER DIAB AB
0:0:21	SUREMAN COMP. & COMMUN. CORP.
0:0:22	VISUAL TECHNOLOGY INC.
0:0:23	ABB INDUSTRIAL SYSTEMS AB
0:0:24	CONNECT AS
0:0:25	RAMTEK CORP.
0:0:26	SHA-KEN CO., LTD.
0:0:27	JAPAN RADIO COMPANY
0:0:28	PRODIGY SYSTEMS CORPORATION
0:0:29	IMC NETWORKS CORP.
0:0:2a	TRW - SEDD/INP
0:0:2b	CRISP AUTOMATION, INC
0:0:2c	AUTOTOTE LIMITED
0:0:2d	CHROMATICS INC
0:0:2e	SOCIETE EVIRA
0:0:2f	TIMEPLEX INC.
0:0:3	XEROX CORPORATION
0:0:30	VG LABORATORY SYSTEMS LTD
0:0:31	QPSX COMMUNICATIONS PTY LTD
0:0:32	Marconi plc
0:0:33	EGAN MACHINERY COMPANY
0:0:34	NETWORK RESOURCES CORPORATION
0:0:35	SPECTRAGRAPHICS CORPORATION
0:0:36	ATARI CORPORATION
0:0:37	OXFORD METRICS LIMITED
0:0:38	CSS LABS
0:0:39	TOSHIBA CORPORATION
0:0:3a	CHYRON CORPORATION
0:0:3b	i Controls, Inc.
0:0:3c	AUSPEX SYSTEMS INC.
0:0:3d	UNISYS
0:0:3e	SIMPACT
0:0:3f	SYNTREX, INC.
0:0:4	XEROX CORPORATION
0:0:40	APPLICON, INC.
0:0:41	ICE CORPORATION
0:0:42	METIER MANAGEMENT SYSTEMS LTD.
0:0:43	MICRO TECHNOLOGY
0:0:44	CASTELLE CORPORATION
0:0:45	FORD AEROSPACE & COMM. CORP.
0:0:46	OLIVETTI NORTH AMERICA
0:0:47	NICOLET INSTRUMENTS CORP.
0:0:48	SEIKO EPSON CORPORATION
0:0:49	APRICOT COMPUTERS, LTD
0:0:4a	ADC CODENOLL TECHNOLOGY CORP.
0:0:4b	ICL DATA OY
0:0:4c	NEC CORPORATION
0:0:4d	DCI CORPORATION
0:0:4e	AMPEX CORPORATION
0:0:4f	LOGICRAFT, INC.
0:0:5	XEROX CORPORATION
0:0:50	RADISYS CORPORATION
0:0:51	HOB ELECTRONIC GMBH & CO. KG
0:0:52	Intrusion.com, Inc.
0:0:53	COMPUCORP
0:0:54	MODICON, INC.
0:0:55	COMMISSARIAT A L`ENERGIE ATOM.
0:0:56	DR. B. STRUCK
0:0:57	SCITEX CORPORATION LTD.
0:0:58	RACORE COMPUTER PRODUCTS INC.
0:0:59	HELLIGE GMBH
0:0:5a	SysKonnect GmbH
0:0:5b	ELTEC ELEKTRONIK AG
0:0:5c	TELEMATICS INTERNATIONAL INC.
0:0:5d	CS TELECOM
0:0:5e	USC INFORMATION SCIENCES INST
0:0:5f	SUMITOMO ELECTRIC IND., LTD.
0:0:6	XEROX CORPORATION
0:0:60	KONTRON ELEKTRONIK GMBH
0:0:61	GATEWAY COMMUNICATIONS
0:0:62	BULL HN INFORMATION SYSTEMS
0:0:63	BARCO CONTROL ROOMS GMBH
0:0:64	YOKOGAWA DIGITAL COMPUTER CORP
0:0:65	Network General Corporation
0:0:66	TALARIS SYSTEMS, INC.
0:0:67	SOFT * RITE, INC.
0:0:68	ROSEMOUNT CONTROLS
0:0:69	CONCORD COMMUNICATIONS INC
0:0:6a	COMPUTER CONSOLES INC.
0:0:6b	SILICON GRAPHICS INC./MIPS
0:0:6c	PRIVATE
0:0:6d	CRAY COMMUNICATIONS, LTD.
0:0:6e	ARTISOFT, INC.
0:0:6f	Madge Ltd.
0:0:7	XEROX CORPORATION
0:0:70	HCL LIMITED
0:0:71	ADRA SYSTEMS INC.
0:0:72	MINIWARE TECHNOLOGY
0:0:73	SIECOR CORPORATION
0:0:74	RICOH COMPANY LTD.
0:0:75	Nortel Networks
0:0:76	ABEKAS VIDEO SYSTEM
0:0:77	INTERPHASE CORPORATION
0:0:78	LABTAM LIMITED
0:0:79	NETWORTH INCORPORATED
0:0:7a	DANA COMPUTER INC.
0:0:7b	RESEARCH MACHINES
0:0:7c	AMPERE INCORPORATED
0:0:7d	SUN MICROSYSTEMS, INC.
0:0:7e	CLUSTRIX CORPORATION
0:0:7f	LINOTYPE-HELL AG
0:0:8	XEROX CORPORATION
0:0:80	CRAY COMMUNICATIONS A/S
0:0:81	BAY NETWORKS
0:0:82	LECTRA SYSTEMES SA
0:0:83	TADPOLE TECHNOLOGY PLC
0:0:84	SUPERNET
0:0:85	CANON INC.
0:0:86	MEGAHERTZ CORPORATION
0:0:87	HITACHI, LTD.
0:0:88	COMPUTER NETWORK TECH. CORP.
0:0:89	CAYMAN SYSTEMS INC.
0:0:8a	DATAHOUSE INFORMATION SYSTEMS
0:0:8b	INFOTRON
0:0:8c	Alloy Computer Products (Australia) Pty Ltd
0:0:8d	VERDIX CORPORATION
0:0:8e	SOLBOURNE COMPUTER, INC.
0:0:8f	RAYTHEON COMPANY
0:0:9	XEROX CORPORATION
0:0:90	MICROCOM
0:0:91	ANRITSU CORPORATION
0:0:92	COGENT DATA TECHNOLOGIES
0:0:93	PROTEON INC.
0:0:94	ASANTE TECHNOLOGIES
0:0:95	SONY TEKTRONIX CORP.
0:0:96	MARCONI ELECTRONICS LTD.
0:0:97	EPOCH SYSTEMS
0:0:98	CROSSCOMM CORPORATION
0:0:99	MTX, INC.
0:0:9a	RC COMPUTER A/S
0:0:9b	INFORMATION INTERNATIONAL, INC
0:0:9c	ROLM MIL-SPEC COMPUTERS
0:0:9d	LOCUS COMPUTING CORPORATION
0:0:9e	MARLI S.A.
0:0:9f	AMERISTAR TECHNOLOGIES INC.
0:0:a	OMRON TATEISI ELECTRONICS CO.
0:0:a0	SANYO Electric Co., Ltd.
0:0:a1	MARQUETTE ELECTRIC CO.
0:0:a2	BAY NETWORKS
0:0:a3	NETWORK APPLICATION TECHNOLOGY
0:0:a4	ACORN COMPUTERS LIMITED
0:0:a5	COMPATIBLE SYSTEMS CORP.
0:0:a6	NETWORK GENERAL CORPORATION
0:0:a7	NETWORK COMPUTING DEVICES INC.
0:0:a8	STRATUS COMPUTER INC.
0:0:a9	NETWORK SYSTEMS CORP.
0:0:aa	XEROX CORPORATION
0:0:ab	LOGIC MODELING CORPORATION
0:0:ac	CONWARE COMPUTER CONSULTING
0:0:ad	BRUKER INSTRUMENTS INC.
0:0:ae	DASSAULT ELECTRONIQUE
